Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,None
1.72174E+18,12:56:00,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,49,85,,,No,,241,Cash,33,3.2,3.5,
1.72044E+18,11:52:00,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,77,140,,,No,,475,Cash,45,4.3,3.1,
1.72093E+18,05:25:00,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,210,45,,,No,,461,UPI,49,4.5,3.1,
1.72173E+18,09:33:00,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,,,,Customer related issue,,,783,,0,,,
1.72002E+18,16:16:00,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,,,,Customer was coughing/sick,,,995,,0,,,
1.71997E+18,00:58:00,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,,,Yes,Customer Demand,1102,UPI,41,3.1,3.5,
1.72184E+18,17:31:00,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,,,,Customer related issue,,,170,,0,,,
1.72065E+18,21:56:00,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,,,No,,444,UPI,6,3.8,4.9,
1.72149E+18,15:30:00,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,,,,Customer related issue,,,1130,,0,,,
1.72067E+18,03:22:00,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294,145,,,No,,876,Cash,21,4.7,3.3,
1.72028E+18,15:02:00,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42,90,,,No,,680,UPI,24,4.7,3.8,
1.72021E+18,20:28:00,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,266,65,,,No,,425,Cash,11,3.5,4.6,
1.7207E+18,11:28:00,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,,,No,,989,Cash,4,4.5,4.2,
1.72115E+18,16:25:00,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,,,,,,,594,,0,,,
1.72081E+18,18:02:00,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294,95,,,No,,443,Cash,5,3.4,3.1,
1.72117E+18,22:35:00,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35,95,,,No,,721,Cash,19,3.8,4.7,
1.722E+18,13:20:00,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217,120,,,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6,
1.72188E+18,03:33:00,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77,35,,,No,,747,Cash,25,5,3.5,
1.72119E+18,03:30:00,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,,,No,,799,UPI,25,3.9,4.7,
1.72033E+18,05:59:00,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63,135,,,No,,300,Cash,14,3.3,4.6,
1.7198E+18,02:21:00,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,,,,,,,162,,0,,,
1.7198E+18,02:45:00,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308,70,,,No,,618,UPI,30,3.5,3.7,
1.71989E+18,04:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,,,No,,251,UPI,9,5,4.4,
1.72084E+18,02:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,,,,More than permitted people in there,,,543,,0,,,
1.72191E+18,10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,,,No,,724,Cash,11,4.5,4.8,
1.72126E+18,00:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,,,No,,316,UPI,27,3.1,4.7,
1.72165E+18,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,,,No,,138,UPI,24,5,3,
1.72103E+18,07:21:00,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,,,No,,467,Cash,24,4.5,4.2,
1.72138E+18,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,,,,,,,565,,0,,,
1.72037E+18,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,,,,More than permitted people in there,,,276,,0,,,
1.72023E+18,01:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,,,No,,296,UPI,5,4,4.3,
1.72011E+18,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,,,,,,,1310,,0,,,
1.72201E+18,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,,,AC is Not working,,,,771,,0,,,
1.7198E+18,02:55:00,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,,,No,,279,Cash,43,4.3,3.4,
1.72167E+18,16:24:00,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,,,No,,321,Cash,39,3.3,4.7,
1.72159E+18,19:56:00,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,,,No,,457,Cash,1,4.1,3.4,
1.72019E+18,13:55:00,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,,,No,,139,Cash,45,4.9,3.8,
1.72228E+18,19:40:00,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,,,Yes,Customer Demand,685,UPI,7,4.1,4.9,
1.72108E+18,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,,,,More than permitted people in there,,,150,,0,,,
1.72114E+18,13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,,,No,,196,UPI,21,4.3,3.4,
1.72096E+18,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,,,,Personal & Car related issue,,,424,,0,,,
1.72073E+18,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,,,,More than permitted people in there,,,827,,0,,,
1.72093E+18,04:15:00,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,,,No,,770,Cash,27,3.3,4.3,
1.7212E+18,07:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,,,,,,,325,,0,,,
1.7201E+18,14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,,,No,,986,Cash,18,4.6,4.8,
1.72226E+18,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,,,No,,2208,Cash,40,4,4.5,
1.72125E+18,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,,,No,,1695,UPI,20,4.5,4.7,
1.72147E+18,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,,,,Customer related issue,,,305,,0,,,
1.72043E+18,09:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,,,No,,2271,Cash,37,3.4,4.2,
1.72032E+18,01:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,,,No,,240,UPI,4,4,4.9,
1.7223E+18,01:20:00,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,,,No,,482,Cash,37,4.4,3.9,
1.72001E+18,11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,,,No,,536,UPI,17,3.9,4.4,
1.72069E+18,10:44:00,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,,,No,,188,UPI,37,4.9,4.1,
1.72167E+18,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,,,,Customer related issue,,,202,,0,,,
1.72154E+18,06:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,,,,Customer related issue,,,1609,,0,,,
1.72161E+18,00:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,,,,Personal & Car related issue,,,1821,,0,,,
1.72199E+18,09:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,,,No,,415,UPI,22,3.6,3.1,
1.72197E+18,06:06:00,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,,,No,,2125,UPI,6,3.8,4.6,
1.72002E+18,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,,,,Customer related issue,,,758,,0,,,
1.72035E+18,09:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,,,,,,,653,,0,,,
1.72165E+18,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,,,Yes,Other Issue,704,Cash,42,4.7,4.8,
1.72136E+18,04:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,,,No,,385,Cash,19,4.1,3.7,
1.71981E+18,05:03:00,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,,,No,,934,UPI,12,3.3,5,
1.72171E+18,04:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,,,,Customer related issue,,,615,,0,,,
1.72198E+18,08:22:00,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,,,No,,2202,Cash,44,4.7,3.4,
1.72018E+18,12:36:00,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,,,No,,205,Cash,43,4.1,3.1,
1.72129E+18,07:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,,,Driver asked to cancel,,,,513,,0,,,
1.72155E+18,08:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,,,No,,247,Cash,8,3.1,3.3,
1.72084E+18,02:55:00,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259,75,,,Yes,Other Issue,558,UPI,41,3.2,3.2,
1.72043E+18,07:56:00,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,,,No,,291,UPI,5,3.8,3.3,
1.72162E+18,04:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,,,No,,925,Cash,22,3,4,
1.72186E+18,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,,,No,,121,Cash,44,3.8,4.5,
1.72153E+18,03:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,,,,,,,404,,0,,,
1.72226E+18,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,,,Change of plans,,,,223,,0,,,
1.72103E+18,08:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,,,,,,,2989,,0,,,
1.71983E+18,11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,,,No,,728,Cash,14,4.3,5,
1.7207E+18,10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,,,No,,2416,UPI,49,3.1,3.8,
1.72233E+18,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,,,Driver is not moving towards pickup location,,,,371,,0,,,
1.72038E+18,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,,,No,,258,Cash,32,4.7,4.1,
1.72212E+18,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,,,,,,,170,,0,,,
1.72114E+18,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,,,Driver asked to cancel,,,,151,,0,,,
1.72203E+18,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,,,,Customer related issue,,,425,,0,,,
1.72006E+18,03:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,,,No,,220,UPI,2,3.4,3.1,
1.72112E+18,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,,,No,,472,UPI,16,3.3,4.5,
1.72151E+18,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,,,,Customer related issue,,,616,,0,,,
1.72104E+18,09:20:00,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,,,No,,473,Cash,49,4,4.2,
1.72012E+18,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,,,No,,259,Cash,11,4.8,4.5,
1.72208E+18,11:58:00,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,,,No,,310,Credit Card,2,3.3,3.1,
1.72056E+18,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,,,,Personal & Car related issue,,,200,,0,,,
1.72233E+18,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189,85,,,No,,471,UPI,39,3.5,3.7,
1.72091E+18,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287,125,,,No,,442,UPI,37,4.1,4.5,
1.72228E+18,19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175,65,,,No,,228,Cash,10,3.7,4.3,
1.72181E+18,09:25:00,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,,,,Customer was coughing/sick,,,232,,0,,,
1.72229E+18,23:15:00,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,,,,,,,344,,0,,,
1.72043E+18,07:52:00,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,266,65,,,No,,2604,UPI,10,3.8,4.1,
1.72111E+18,04:52:00,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210,120,,,No,,274,Cash,37,3.1,3.6,
1.72053E+18,13:07:00,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,,,Driver is not moving towards pickup location,,,,895,,0,,,
1.72201E+18,16:05:00,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,91,60,,,No,,279,Cash,34,4.5,3.2,
1.72204E+18,23:32:00,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294,45,,,No,,1946,Cash,16,3,3.5,
1.72015E+18,04:23:00,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231,65,,,No,,1024,UPI,4,4.8,4.1,
1.72173E+18,10:25:00,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,,,Driver asked to cancel,,,,294,,0,,,
1.72176E+18,19:44:00,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,266,55,,,No,,252,UPI,8,4,4.8,
1.72216E+18,10:29:00,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,84,145,,,No,,2542,UPI,2,3.5,4.1,
1.7214E+18,15:04:00,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,266,75,,,No,,1821,Cash,34,4.4,4.7,
1.72077E+18,08:33:00,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,105,145,,,No,,200,Cash,31,4.9,4,
1.72113E+18,10:22:00,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,,,,Customer was coughing/sick,,,152,,0,,,
1.72191E+18,11:15:00,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133,145,,,No,,2388,Cash,4,4.4,3.6,
1.72215E+18,06:34:00,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77,100,,,No,,783,Cash,37,3.5,3.5,
1.72004E+18,20:56:00,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,,,,,,,208,,0,,,
1.7212E+18,07:28:00,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,168,50,,,No,,1181,UPI,10,3.4,4.9,
1.7198E+18,03:29:00,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,,,Change of plans,,,,843,,0,,,
1.72148E+18,13:53:00,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,224,80,,,No,,441,Cash,7,3,3.1,
1.72058E+18,02:02:00,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238,25,,,No,,332,UPI,38,3.8,3.4,
1.7208E+18,16:22:00,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,42,65,,,No,,832,Cash,11,3.4,4.1,
1.72103E+18,06:58:00,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,231,30,,,No,,1361,UPI,47,4,3.9,
1.72013E+18,21:47:00,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,,,,More than permitted people in there,,,415,,0,,,
1.72215E+18,07:06:00,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,42,55,,,No,,747,Cash,28,3.8,3,
1.71989E+18,01:54:00,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,245,55,,,No,,129,Cash,5,4.4,4.2,
1.72064E+18,18:38:00,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98,100,,,No,,296,UPI,34,3.3,4.2,
1.72205E+18,03:13:00,CNR2841702950,Success,CID268274,Auto,Sarjapur Road,Sarjapur Road,231,105,,,No,,337,UPI,18,4.5,4.2,
1.72054E+18,14:52:00,CNR2747846957,Success,CID700413,Prime Sedan,Majestic,Malleshwaram,308,140,,,No,,896,UPI,45,4,4.1,
1.72017E+18,09:33:00,CNR4795488474,Success,CID943263,Prime Sedan,Peenya,Frazer Town,189,60,,,No,,151,Credit Card,11,4,4.8,
1.72026E+18,10:00:00,CNR6662649739,Success,CID295666,Auto,Ramamurthy Nagar,Banashankari,189,35,,,No,,940,Debit Card,7,3.2,3.5,
1.7206E+18,09:28:00,CNR2524442918,Success,CID471692,Prime Plus,Hulimavu,RT Nagar,98,140,,,No,,729,Credit Card,13,4.5,5,
1.71983E+18,10:12:00,CNR4977956798,Success,CID782900,Auto,Banashankari,Sarjapur Road,189,45,,,No,,128,Cash,1,4.6,4.8,
1.72201E+18,15:07:00,CNR2002215420,Success,CID109502,Prime SUV,Whitefield,BTM Layout,77,75,,,No,,274,Cash,42,4,3.4,
1.72084E+18,04:23:00,CNR9590311980,Success,CID957268,Auto,Bannerghatta Road,Tumkur Road,105,25,,,Yes,Customer Demand,352,Cash,8,5,3.8,
1.72232E+18,05:14:00,CNR3124565731,Success,CID578023,Auto,Basavanagudi,Chickpet,189,55,,,No,,238,UPI,6,4.5,3,
1.72148E+18,11:34:00,CNR6090870401,Success,CID301446,Prime SUV,Ramamurthy Nagar,KR Puram,280,30,,,No,,477,Cash,19,4.1,4.3,
1.72175E+18,15:38:00,CNR9405757355,Success,CID176162,Auto,Richmond Town,Banashankari,196,145,,,No,,186,UPI,15,4.7,4.6,
1.71983E+18,11:55:00,CNR7078608984,Driver Not Found,CID926832,eBike,Shantinagar,Hebbal,,,,,,,117,,0,,,
1.72064E+18,18:52:00,CNR4166475803,Success,CID615978,Prime SUV,Banashankari,Yelahanka,168,90,,,No,,193,UPI,13,3.8,3.2,
1.72027E+18,12:51:00,CNR3641224150,Success,CID431557,Mini,Majestic,Magadi Road,98,60,,,No,,395,UPI,41,4.3,4.8,
1.72098E+18,16:42:00,CNR7307808711,Success,CID928859,Prime SUV,MG Road,BTM Layout,147,75,,,No,,857,Cash,45,4.7,4,
1.72117E+18,22:49:00,CNR9207534980,Canceled by Driver,CID926602,Prime Plus,Whitefield,Kammanahalli,,,,Customer related issue,,,819,,0,,,
1.72087E+18,10:16:00,CNR8478607960,Success,CID374876,Prime Sedan,Shivajinagar,BTM Layout,35,45,,,No,,484,UPI,16,4.1,4.5,
1.72008E+18,08:50:00,CNR6867991693,Success,CID139968,Prime Plus,Bellandur,Indiranagar,84,70,,,No,,648,Cash,3,4.9,4.8,
1.72009E+18,11:55:00,CNR4134417165,Success,CID298474,Bike,Ulsoor,Whitefield,196,130,,,No,,153,Cash,20,4.1,3.9,
1.72153E+18,01:50:00,CNR6026842144,Success,CID533256,Prime SUV,Bannerghatta Road,Padmanabhanagar,70,140,,,No,,232,Credit Card,28,4.3,4.7,
1.72017E+18,08:41:00,CNR1373400641,Canceled by Driver,CID137733,Mini,Shivajinagar,Kadugodi,,,,More than permitted people in there,,,478,,0,,,
1.71981E+18,05:01:00,CNR7756361076,Canceled by Driver,CID843494,Auto,Koramangala,Hebbal,,,,Customer was coughing/sick,,,850,,0,,,
1.72023E+18,00:38:00,CNR1058833099,Success,CID705304,Bike,Frazer Town,Jayanagar,294,75,,,No,,673,Cash,25,4.1,3.6,
1.72165E+18,12:46:00,CNR8150133799,Driver Not Found,CID406881,eBike,Chickpet,HSR Layout,,,,,,,315,,0,,,
1.72143E+18,00:11:00,CNR3136784868,Success,CID703583,Prime SUV,Shivajinagar,Indiranagar,63,125,,,No,,1033,Cash,2,4.1,3.6,
1.72119E+18,03:54:00,CNR2919641369,Canceled by Customer,CID137586,Prime SUV,Tumkur Road,Langford Town,,,Driver is not moving towards pickup location,,,,825,,0,,,
1.72178E+18,23:49:00,CNR4311649934,Canceled by Customer,CID379072,Prime SUV,Sahakar Nagar,Hosur Road,,,Wrong Address,,,,213,,0,,,
